CHAT_ID,CALL_ID,LOC_OF_CALL,ROLE_ID,CONVERSATION,SPEED,MIN_TONE,MAX_TONE,MIN_VOLUMN,MAX_VOLUMN,STRENGTH,IS_HALT
1,27618,1,1,王海伟先生是吧,110,40,80,45,55,2,0
2,27618,2,2,您好,105,41,78,45,52,2,0
3,27618,3,1,我这里是现金白卡的,103,42,77,43,50,2,0
4,27618,4,2,嗯嗯,102,41,78,40,52,2,0
5,27618,5,1,王先生您现金白卡的贷款一千三百元款项逾期四天了怎么一直没处理,112,42,82,41,56,2,0
6,27618,6,1,你什么意思啊,116,72,95,41,56,1,0
7,27618,7,2,我说我有点忙,116,72,95,41,56,1,0
8,27618,8,2,一直给我打电话干嘛,101,56,84,42,73,1,0
9,27618,9,1,我打电话催钱要钱呀你欠的钱可以在里面的钱,123,82,103,58,80,1,0
10,27859,10,1,我这边,67,48,113,78,61,,1
11,27859,11,1,这样子,118,79,96,50,63,,0
12,27859,12,2,那个电话线哪一位,114,71,106,75,69,,0
13,27859,13,1,哎你好我这边是通关的请问现在方便通过了吗,60,49,118,48,64,,1
14,27859,14,2,啊您是哪一位,98,72,100,80,51,,1
15,27859,15,2,我在网上查,89,70,103,56,65,,1
16,27859,16,1,哦,91,59,85,53,56,,0
17,27859,17,2,我叫王承上,80,52,83,69,71,,0
18,27859,18,1,是早晨的时候,65,71,97,58,74,,0
19,27859,19,1,哦王晨晨是吗,118,50,98,77,61,,0
20,27859,20,2,嗯对的,70,73,80,79,56,,1
21,27859,21,1,哦好好好,73,44,117,72,55,,1
22,27859,22,2,啊准备好了吗,73,74,100,74,73,,0
23,27859,23,1,嗯好的,69,63,97,65,51,,0
24,27859,24,2,嗯好那您开是吧,115,60,83,46,79,,1
25,27860,25,1,嗯好的嗯你好我们这边是中国银行贵州分行的我的工号是七四幺二三请问您是张先生吗,116,60,81,76,55,,1
26,27860,26,2,嗯对,69,71,99,77,60,,1
27,27860,27,1,嗯好的关注到您一直在使用我行尾号为四九零六的信用卡对吧,101,59,89,68,58,,0
28,27860,28,2,嗯对,91,57,98,66,78,,0
29,27860,29,1,啊嗯感谢您一直对我行的支持显示您的用卡记录良好为了给您提供更加优质的服务方便您的现金管理银行主动致电是特别邀请您像您这样的优质老客户来参加我航班分期送积分的活动关注到您是在嗯一月呃十一月十一号有四万八的消费是吧,105,58,116,48,72,,1
30,27860,30,2,嗯好的嗯如果您现在办理的话那这个笔钱您就不需要一次性还给银行了我们还专门给您提供了六种趋势选择嗯办的现在办的多的是一年期和两年期的而且您放心你按照账单和全额还款的话是不会有利息产生的风起时有一个手续费而且您现在办理的话我们还针对您这样的优质老客户送给您一倍的积分而且手续费也是给您打八折的,105,46,104,65,65,,1
31,27860,31,1,如果您选择十二起来还的话每次每个月的手续费请为您分析总金额的百分之七点打完折的话只有百分之五点七六每个月的手续费您只要还想两百三十块零四毛每天只需要还嗯七块六毛八零零卖报相应的钱都不够的是非常划算的那您看这边就跟其他优质客户给您办了一个十二月的分区好吧,74,48,102,61,62,,0
32,27860,32,2,嗯不需要吧,91,59,116,58,58,,1
33,27860,33,1,嗯先生理解您的意思只是致电给您呢是肯定是相信您的还款能力的因为您是沃行的贵宾客户所以有什么好的活动我们会第一时间邀请您的您看现在关系也是一种很不错的理财方式办理之后您就不需要一次性将钱还给银行了您可以把大巴的资金留在您的手上送您合理支配您看有嗯退网后的话那个假期也是比较多的,67,50,110,51,58,,1
34,27860,34,2,您说一下子您的家人出门旅游购物都是很不错的他去现在像您这样的老客户我们还赠送你被的积分的先生可以兑换精美的礼品比如充电宝按摩椅之类的您具体的您想兑换什么的话可以登录我们的网站三w点丢崔点cn在积分三六对话您看这边就跟就跟其他优质客户一样给您办理一个十二区的您每个月按照账单还款就可以了好吧,67,75,111,56,64,,0
35,27861,35,1,呃那分期没有利息吗,106,71,97,63,50,,1
36,27861,36,2,哦是这样的您只要每个月按照我们的账单提示还款全额还款的话是没有联系的我们只有一个手续费的,86,46,102,41,57,,1
37,27861,37,1,手续费手续费几个店,68,61,118,77,58,,1
38,27861,38,2,嗯是这样的嗯如果您选择十二起来还的话我们现在是百分之七点就是嗯一年嗯行,68,56,103,65,65,,0
39,27861,39,1,啊如而且我们现在是给您打八折的手续费就只有嗯百分之就是您分期总金额的百分之五点七六非常划算的,112,48,82,67,74,,1
40,27861,40,2,我现在有事吗,79,60,98,62,78,,0
41,27861,41,1,呃那我自己还可以办精细呀,108,71,112,41,72,,1
42,27861,42,2,嗯,69,78,81,78,67,,1
43,27861,43,1,哦是这样的我们这嗯最少的话是有三期了但是我们并不建议您办三期的因为三区的话手续费是百分之零点六五嗯我们还是比较建议您办十二期的因为他的手续费是百分之零点六嗯手续费也相对较少一点而且你办十二期的话每个月来还的话还款压力是会比较小的是吧您这样的话您就可以有嗯大量的资金留在您的手头上,120,67,114,41,60,,0
44,27861,44,2,嗯您这样的话您可以就是嗯您可以嗯您的钱就可以用说用在用在其他的地方了像您这样有收费有地儿的客户肯定也是走投资少收益找发财的吗很快就会提现本金很快嗯肯定就可以发一发您说是吧,72,46,100,75,70,,1
45,27861,45,1,哦那,110,70,80,58,79,,1
46,27862,46,2,嗯,67,64,100,53,74,,0
47,27862,47,1,然后可以提前还款吗,77,64,81,54,55,,0
48,27862,48,2,嗯是这样的先生嗯您是可以提前还款的但是我们并不建议你提前换卡因为您如果提前还款的话我们的手续费是不会退您的您还您就按照账单其实还款就可以了,104,50,97,73,59,,0
49,27862,49,1,那你看一下我这张卡有没有年费,66,73,118,44,67,,1
